STATIONS_ID,Date,Sunshine duration daily total,Daily amount of precipitation,Daily mean temperature,Daily mean of the relative humidity,Daily mean wind speed
1078,15/05/1970 00:00,0,0.8,14.2,76,2.4
1078,16/05/1970 00:00,6.8,2.3,13.6,77,2.1
1078,17/05/1970 00:00,0.1,6.7,12.7,84,3.4
1078,18/05/1970 00:00,13.4,0,14.7,65,1.8
1078,19/05/1970 00:00,0.4,0.5,15.6,69,2.1
1078,20/05/1970 00:00,6.6,0,12.8,62,3.6
1078,21/05/1970 00:00,1.4,6.3,9,83,5.6
1078,22/05/1970 00:00,7.5,0.6,8.7,69,5.6
1078,23/05/1970 00:00,3.2,0,11.8,66,2.2
1078,24/05/1970 00:00,9.2,0,14.2,67,1.5
1078,25/05/1970 00:00,5.4,0,16.4,57,3.3
1078,26/05/1970 00:00,7,0.6,14.3,68,3.6
1078,27/05/1970 00:00,0.2,0,10.9,80,3.4
1078,28/05/1970 00:00,9.7,0,14.5,65,1.4
1078,29/05/1970 00:00,6.6,6,15.5,67,1.9
1078,30/05/1970 00:00,2.1,1.2,13.4,77,3.4
1078,31/05/1970 00:00,6.9,0.4,13.6,72,4.3
1078,01/06/1970 00:00,4.3,0.3,13.3,75,3.8
1078,02/06/1970 00:00,12.1,0,12.8,56,2.6
1078,03/06/1970 00:00,14.6,0,14.2,54,3.6
1078,04/06/1970 00:00,13.1,0,15,54,4.9
1078,05/06/1970 00:00,6.9,0,14.7,74,3.6
1078,06/06/1970 00:00,13.3,0,19.9,59,3.7
1078,07/06/1970 00:00,7.9,0,21.7,53,3.4
1078,08/06/1970 00:00,13.9,0,23,54,2.3
1078,09/06/1970 00:00,9.5,7.3,21,69,2.4
1078,10/06/1970 00:00,7.8,6.3,20.6,70,1.5
1078,11/06/1970 00:00,11.6,0,21,63,2.1
1078,12/06/1970 00:00,9.3,0,17.2,65,3
1078,13/06/1970 00:00,14.5,0,16.1,60,2.8
1078,14/06/1970 00:00,13.4,0,14.8,62,2.7
1078,15/06/1970 00:00,12.8,0,15.8,60,2
1078,16/06/1970 00:00,5,1,17.4,74,1.4
1078,17/06/1970 00:00,2.7,1.4,20.9,72,2
1078,18/06/1970 00:00,14.3,0,20.7,46,5.5
1078,19/06/1970 00:00,9.3,0,21.4,50,2.3
1078,20/06/1970 00:00,8.6,0,22.5,55,2.1
1078,21/06/1970 00:00,11.6,0,22.9,58,2.1
1078,22/06/1970 00:00,5.7,0,22.9,65,1.7
1078,23/06/1970 00:00,6.3,4.8,20.2,67,3.2
1078,24/06/1970 00:00,1.9,1.5,17.8,75,4.4
1078,25/06/1970 00:00,1.2,0,18.3,70,3.6
1078,26/06/1970 00:00,12.9,0,19.3,61,1.3
1078,27/06/1970 00:00,10.3,1,23.2,56,3
1078,28/06/1970 00:00,1.6,5,16.2,89,2.3
1078,29/06/1970 00:00,1.5,17.1,12.7,87,4.4
1078,30/06/1970 00:00,1.5,1.1,13.1,80,5.9
1078,01/07/1970 00:00,0,4.1,14.4,87,4.7
1078,02/07/1970 00:00,3.8,12.6,13.4,77,6.1
1078,03/07/1970 00:00,1.2,2.7,13.2,86,5.2
1078,04/07/1970 00:00,1,0.2,15.1,72,3.2
1078,05/07/1970 00:00,0,0.1,16.9,88,3.1
1078,06/07/1970 00:00,6,0,19.9,71,2.3
