"hydroYear","Date","MRD","MRS"
"1977",1978-08-01,2246.77419354839,4.121797834
"1977",1978-09-01,1485.33333333333,7.2514831493
"1978",1978-10-01,1449.35483870968,8.94837703167742
"1978",1978-11-01,1048.23333333333,3.41586538206667
"1978",1978-12-01,1389.41935483871,17.574930605619
"1978",1979-01-01,2202.25806451613,60.046273254028
"1978",1979-02-01,4106.78571428571,25.9319229994431
"1978",1979-03-01,3802.25806451613,18.0611410146095
"1978",1979-04-01,2832.33333333333,5.9519905641
"1978",1979-05-01,2457.74193548387,9.80927912429032
"1978",1979-06-01,2521.33333333333,7.38032906066667
"1978",1979-07-01,1663.87096774194,4.02581904174194
"1978",1979-08-01,1510.32258064516,14.5458748576452
"1978",1979-09-01,1292.33333333333,6.71704838583333
"1979",1979-10-01,1217.41935483871,2.59299293370968
